Time	Draw				Score			Duration	Court	
	8:30 AM	BS U11	Weslie Chen [3/4]	-	Alvin Ng [1]	21-10 21-18			1:45	Main Location - 9
	8:30 AM	BS U11	Lukas Chang	-	Lance Fuchia	17-21 21-13 21-16			1:46	Main Location - 10
	8:30 AM	BS U13	Daniel Bielin [5/8]	-	Andrew Wang [5/8]	18-21 21-7 21-15			1:41	Main Location - 5
	8:30 AM	BS U13	Mihir Raja [5/8]	-	Kelvin Chong	21-12 22-20			0:52	Main Location - 3
	8:30 AM	BS U15	Tony Liuzhou	-	Derek Tan [3/4]	21-12 21-7			0:52	Main Location - 4
	8:30 AM	BS U15	Joseph Zhang	-	Eric Duong [3/4]	21-15 13-21 21-14			1:39	Main Location - 8
	8:30 AM	BS U19	Vinson Chiu [1]	-	Brian Duong	21-13 21-11			0:38	Main Location - 12
	8:30 AM	BS U19	Phillip Jap [2]	-	Gokul Kalyanasundaram	16-21 22-20 21-13			0:53	Main Location - 11
	8:30 AM	BS U17	Derek Hu [3/4]	-	Bryce Kan [1]	21-11 15-21 21-19			0:51	Main Location - 1
	8:30 AM	BS U17	Eric Chang	-	Alexander Zheng	21-12 15-21 21-19			0:52	Main Location - 2
	8:30 AM	XD U15	Jacob Zhang Celina Yu	-	Harshith Rajasekaran Kaia To	21-11			0:37	Main Location - 7
	8:30 AM	BD U13	Edison Ma Thompson Ma	-	Kevin Lan Andrew Tan	22-20			0:20	Main Location - 6
	9:00 AM	GS U11	Kaitlyn Wang [1]	-	Brianna Xu [3/4]	21-11 21-14			1:27	Main Location - 6
	9:00 AM	GS U11	Hailey Hung [2]	-	Olivia Chen [5/8]	21-16 20-22 21-19			1:16	Main Location - 11
	9:00 AM	GS U13	Natalie Chi [5/8]	-	Kalea Sheung [1]	17-21 21-18 21-16			1:20	Main Location - 3
	9:00 AM	GS U13	Claire Chen [5/8]	-	Yvonne Qiu [5/8]	21-14 21-11			1:07	Main Location - 2
	9:00 AM	GS U17	Christine Yu	-	Angela Zhang [1]	21-15 21-11			1:17	Main Location - 4
	9:00 AM	GS U17	Lauren Lam	-	Maalveka Ilango	21-11 21-14			1:16	Main Location - 7
	9:00 AM	GS U19	Crystal Pan	-	Kerry Xu	21-15 21-10			1:26	Main Location - 12
	9:00 AM	GS U19	Annie Xu	-	Jamie Hsu	14-21 21-13 21-17			1:24	Main Location - 9
	9:00 AM	GS U15	Jacqueline Zhang [5/8]	-	Julie Yang [3/4]	19-21 21-15 21-15			1:06	Main Location - 10
	9:00 AM	GS U15	Katelin Ngo	-	Tiffany Kuang	18-21 21-19 21-13			1:01	Main Location - 1
	9:00 AM	XD U15	Daniel Huang Siya Ragade	-	Aaron Wu Abigail Li	21-19			1:00	Main Location - 6
	9:00 AM	BD U13	Allen Jolly Partha Teja Malladi	-	Christopher Liu Jonathan Siu	21-7			1:02	Main Location - 8
	9:30 AM	BS U11	William Wang	-	Jaden Jin	21-18			0:51	Main Location - 7
	9:30 AM	BS U11	Caden Liu	-	Kai Chong [5/8]	21-12			0:47	Main Location - 5
	9:30 AM	BS U13	Ashton Lee	-	Aaron Bai	21-8			0:38	Main Location - 4
	9:30 AM	BS U13	Andre Chim	-	Ryan Phan	21-16			0:39	Main Location - 8
	9:30 AM	BS U15	Harshith Rajasekaran	-	William Dai	21-10			0:33	Main Location - 9
	9:30 AM	BS U15	Alohi Sheung [5/8]	-	Tommy Tan	21-15			0:32	Main Location - 2
	9:30 AM	BS U17	Elias Frausing	-	Ken Zhu	Walkover				
	9:30 AM	BS U17	Choonggao Lee	-	Nihal Bondugula	21-14			0:39	Main Location - 4
	9:30 AM	BS U19	Stephen Ding	-	Cadmus Yeo	21-7			0:27	Main Location - 11
	9:30 AM	BD U13	Pranai Konduru Kevin Ngo	-	Matthew Li Ryan Wu	21-8			0:22	Main Location - 6
	9:50 AM	GS U11	Savanna Lee	-	Ella Lin	21-11			0:17	Main Location - 5
	9:50 AM	GS U11	Melissa Jin	-	Elise Fong	21-15			0:17	Main Location - 3
	9:50 AM	GS U13	Shriya Chockalingam	-	Ishika Jaiswal	21-18			0:21	Main Location - 9
	9:50 AM	GS U13	Melody Yang	-	Ellen Zulkarnain	21-16			0:18	Main Location - 1
	9:50 AM	GS U15	Caroline Oei	-	Niko Bardin	21-14			0:33	Main Location - 8
	9:50 AM	GS U15	Raeka Lin	-	Kristen Choi [3/4]	21-18			0:21	Main Location - 7
	9:50 AM	GS U17	Carmen Chung	-	Annette Lam	21-17			0:22	Main Location - 4
	9:50 AM	GS U17	Vanessa Yang	-	Catherine Oei	21-18			0:21	Main Location - 10
	9:50 AM	GS U19	Soumya Gade	-	Bianca Tam [1]	Walkover				
	9:50 AM	GS U19	Joanna Liu	-	Jennie Gai [2]	22-20			0:20	Main Location - 12
	10:10 AM	BS U11	Lukas Chang	-	Weslie Chen [3/4]	21-17 21-16			0:41	Main Location - 6
	10:10 AM	BS U11	Alvin Ng [1]	-	Lance Fuchia	21-18 20-22 21-18			0:59	Main Location - 2
	10:10 AM	BS U13	Daniel Bielin [5/8]	-	Mihir Raja [5/8]	21-16 19-21 21-15			0:47	Main Location - 7
	10:10 AM	BS U13	Kelvin Chong	-	Andrew Wang [5/8]	22-24 21-18 22-20			0:54	Main Location - 3
	10:10 AM	BS U15	Tony Liuzhou	-	Joseph Zhang	21-13 21-10			0:40	Main Location - 11
	10:10 AM	BS U15	Eric Duong [3/4]	-	Derek Tan [3/4]	21-19 10-21 21-15			1:04	Main Location - 5
	10:10 AM	BS U17	Derek Hu [3/4]	-	Eric Chang	21-16 21-18			0:37	Main Location - 12
	10:10 AM	BS U17	Bryce Kan [1]	-	Alexander Zheng	Walkover				
	10:10 AM	BS U19	Phillip Jap [2]	-	Vinson Chiu [1]	21-13 21-19			0:36	Main Location - 1
	10:10 AM	BS U19	Gokul Kalyanasundaram	-	Brian Duong	Walkover				
	10:40 AM	GS U11	Kaitlyn Wang [1]	-	Hailey Hung [2]	21-11 21-12			0:31	Main Location - 4
	10:40 AM	GS U11	Olivia Chen [5/8]	-	Brianna Xu [3/4]	21-15 21-14			0:36	Main Location - 9
	10:40 AM	GS U13	Claire Chen [5/8]	-	Natalie Chi [5/8]	21-9 21-13			0:30	Main Location - 8
	10:40 AM	GS U13	Yvonne Qiu [5/8]	-	Kalea Sheung [1]	21-8 21-6			0:33	Main Location - 6
	10:40 AM	GS U15	Katelin Ngo	-	Jacqueline Zhang [5/8]	19-21 21-14 21-19			0:49	Main Location - 12
	10:40 AM	GS U15	Julie Yang [3/4]	-	Tiffany Kuang	21-18 21-13			0:36	Main Location - 8
	10:40 AM	GS U17	Lauren Lam	-	Christine Yu	21-8 14-21 21-11			0:35	Main Location - 11
	10:40 AM	GS U17	Maalveka Ilango	-	Angela Zhang [1]	21-16 21-13			0:38	Main Location - 10
	10:40 AM	GS U19	Crystal Pan	-	Annie Xu	21-19 21-18			0:53	Main Location - 1
	10:40 AM	GS U19	Kerry Xu	-	Jamie Hsu	21-9 21-17			0:31	Main Location - 10
	11:10 AM	BS U11	William Wang	-	Caden Liu	21-11			0:18	Main Location - 4
	11:10 AM	GS U11	Savanna Lee	-	Melissa Jin	21-10			0:16	Main Location - 9
	11:10 AM	BS U13	Ashton Lee	-	Andre Chim	21-17			0:24	Main Location - 9
	11:10 AM	GS U13	Shriya Chockalingam	-	Melody Yang	21-17			0:18	Main Location - 4
	11:10 AM	BS U15	Harshith Rajasekaran	-	Alohi Sheung [5/8]	21-16			0:30	Main Location - 2
	11:10 AM	GS U15	Raeka Lin	-	Caroline Oei	21-13			0:10	Main Location - 5
	11:10 AM	BS U17	Elias Frausing	-	Choonggao Lee	21-19			0:37	Main Location - 3
	11:10 AM	GS U17	Vanessa Yang	-	Carmen Chung	21-19			0:05	Main Location - 7
	11:10 AM	BS U19	Stephen Ding	-	Joseph Pitman	21-16			0:20	Main Location - 6
	11:10 AM	GS U19	Joanna Liu	-	Soumya Gade	21-15			0:23	Main Location - 11
	11:40 AM	BD U11	William Wang Daniel Zhou	-	Aaron Bai [1] Ved Vedere	21-19 21-17			0:46	Main Location - 1
	11:40 AM	BD U11	Alvin Ng [3/4] Jedd Perea	-	Lukas Chang [2] Kai Chong	22-20 21-15			0:45	Main Location - 2
	11:40 AM	BD U13	Andrew Wang [1] Edward Zhang	-	Connor Lam [3/4] Joshua Yang	21-18 21-11			0:36	Main Location - 10
	11:40 AM	BD U13	Adrian Mar [3/4] Brandon Wu	-	Jeremy Chen Andrew Liang	21-7 21-19			0:41	Main Location - 8
	11:40 AM	BD U17	Justin Lam [3/4] Ryan Nibu	-	Bryce Kan [1] Ethan Low	21-18 21-19			0:36	Main Location - 12
	11:40 AM	GD U11	Olivia Chen Shelley Li	-	Chloe Ho Veronica Yang	13-21 27-25 21-19			1:09	Main Location - 6
	11:40 AM	GD U13	Natalie Chi [2] Kalea Sheung	-	Francesca Corbett Hailey Hung	21-6 21-8			0:43	Main Location - 5
	11:40 AM	GD U17	Jasmine Lee [2] Christine Yu	-	Breanna Chi Charisse Chow	21-18 21-16			0:04	Main Location - 7
	12:10 PM	XD U15	Joshua Yuan Claire Chen	-	Nihal Bondugula Candace Do	21-10			0:30	Main Location - 7
	12:10 PM	XD U15	Kelvin Chong Tiffany Kuang	-	Justin Lam Raeka Lin	21-11			0:17	Main Location - 2
	12:10 PM	BD U17	Adrian Lee Ken Zhu	-	Raymond Chen [2] Adrian Unruh	16-21 21-16 21-18			0:54	Main Location - 1
	12:10 PM	BD U19	Phillip Jap Joseph Pitman	-	Brian Duong Derek Hu	21-16 21-19			0:38	Main Location - 12
	12:10 PM	BD U19	Ricky Liuzhou [2] Cadmus Yeo	-	Vinson Chiu [1] Anthony Chu	21-18 21-16			0:43	Main Location - 11
	12:10 PM	GD U11	Jaylyn Lee [2] Savanna Lee	-	Joline Siu Mia Zhang	21-17 21-14			0:50	Main Location - 9
	12:10 PM	GD U13	Jessica Fan Ishika Jaiswal	-	Kodi Lee Emma Lin	21-14 21-12			0:44	Main Location - 3
	12:10 PM	GD U15	Maalveka Ilango [1] Lauren Lam	-	Tammy Xie [3/4] Cassandra Yu	19-21 22-20 21-9			0:46	Main Location - 8
	12:10 PM	GD U15	Xin Huang Katelin Ngo	-	Maggie Li Yvonne Qiu	16-21 21-19 21-18			0:53	Main Location - 10
	12:10 PM	GD U15	Karina Chan Roshni Venkat	-	Abigail Li Caroline Oei	21-14			0:24	Main Location - 4
	12:10 PM	GD U15	Kristen Choi [3/4] Emma Lin	-	Emily Hu Catherine Zheng	21-13			0:07	Main Location - 4
	12:10 PM	GD U17	Isabelle Rusli [1] Angela Zhang	-	Carmen Chung Fiona Yue	21-14 16-21 21-13			0:57	Main Location - 5
	12:40 PM	BD U11	Wain Guo Ben Tirtohadi	-	Arthur Lee Linden Wang	23-21			0:25	Main Location - 6
	12:40 PM	BD U11	Kyle Fang Jaden Jin	-	Scott Lin William Ye	21-14			0:30	Main Location - 7
	12:40 PM	BD U13	Jun Jie Lai Marvin Mo	-	Edison Ma Thompson Ma	21-17			0:30	Main Location - 9
	12:40 PM	BD U13	Allen Jolly Partha Teja Malladi	-	Pranai Konduru Kevin Ngo	21-17			0:08	Main Location - 3
	12:40 PM	BD U15	Nathan Chiang Akhil Raj Kasetty	-	Bryan Auyeung Timothy Oeij	21-19			0:20	Main Location - 12
	12:40 PM	BD U17	Albert Lam Jack Yu	-	Bryan Lam Trevor Tan	21-16			0:18	Main Location - 11
	12:40 PM	BD U17	Choonggao Lee Ritvik Regulapati	-	Christopher Ho Nakulan Karthikeyan	21-15			0:22	Main Location - 4
	12:40 PM	GD U19	Joanna Liu Crystal Pan	-	Jennie Gai Jamie Hsu	16-21 21-16 22-20			0:56	Main Location - 12
	12:40 PM	GD U19	Annie Xu [1] Kerry Xu	-	Karen Ma Cindy Yuan	21-12 21-7			0:35	Main Location - 2
	1:00 PM	BD U15	Justin Lam Harshith Rajasekaran	-	Ethan Chang Steve Su	21-8			0:17	Main Location - 9
	1:00 PM	GD U11	Micah Cheng Laasya Priya Mullapudi	-	Mikayla Cruz [1] Kayla Wu	21-15			0:28	Main Location - 11
	1:00 PM	GD U11	Sahasra Chada Melissa Jin	-	Meha Vedere Jasmine Yeung	21-19			0:17	Main Location - 3
	1:00 PM	GD U13	Jolie Wang [1] Ellen Zulkarnain	-	Bhaavya Manikonda Amanda Ng	21-15			0:28	Main Location - 2
	1:00 PM	GD U13	Andrea Lou Melody Yang	-	Kristine Ngo Ivy Wang	21-16			0:20	Main Location - 7
	1:00 PM	GD U17	Mirabelle Huang Annette Lam	-	Cynthia Wong Vanessa Yang	21-7			0:21	Main Location - 8
	1:00 PM	GD U17	Joanne Chan Catherine Oei	-	Lumbini Chandrasekera Crystal Wai	21-10			0:21	Main Location - 5
	1:20 PM	BD U11	William Wang Daniel Zhou	-	Alvin Ng [3/4] Jedd Perea	18-21 21-18 21-7			0:37	Main Location - 9
	1:20 PM	BD U11	Aaron Bai [1] Ved Vedere	-	Lukas Chang [2] Kai Chong	21-16 21-18			0:48	Main Location - 10
	1:20 PM	BD U13	Andrew Wang [1] Edward Zhang	-	Adrian Mar [3/4] Brandon Wu	21-7 21-8			0:28	Main Location - 4
	1:20 PM	BD U13	Connor Lam [3/4] Joshua Yang	-	Jeremy Chen Andrew Liang	14-21 24-22 21-8			0:46	Main Location - 6
	1:20 PM	BD U15	Tony Liuzhou Derek Tan	-	Winston Tsai [2] Alexander Zheng	21-19 21-11			0:40	Main Location - 7
	1:20 PM	BD U15	Justin Wang [3/4] Andrew Zhang	-	Eric Duong [3/4] Daniel Fung	21-19 15-21 21-13			0:44	Main Location - 5
	1:20 PM	BD U17	Justin Lam [3/4] Ryan Nibu	-	Adrian Lee Ken Zhu	21-13 21-10			0:30	Main Location - 11
	1:20 PM	BD U17	Raymond Chen [2] Adrian Unruh	-	Bryce Kan [1] Ethan Low	21-12 17-21 21-19			0:01	Main Location - 2
	1:20 PM	BD U19	Phillip Jap Joseph Pitman	-	Ricky Liuzhou [2] Cadmus Yeo	21-13 14-21 21-10			0:32	Main Location - 12
	1:20 PM	BD U19	Vinson Chiu [1] Anthony Chu	-	Brian Duong Derek Hu	21-13 21-11			0:40	Main Location - 1
	1:20 PM	GD U17	Isabelle Rusli [1] Angela Zhang	-	Jasmine Lee [2] Christine Yu	22-24 21-18 21-13			1:12	Main Location - 8
	1:20 PM	GD U17	Breanna Chi Charisse Chow	-	Carmen Chung Fiona Yue	21-16 21-11			0:37	Main Location - 3
	1:50 PM	GD U11	Olivia Chen Shelley Li	-	Jaylyn Lee [2] Savanna Lee	21-4 21-10			0:07	Main Location - 5
	1:50 PM	GD U11	Chloe Ho Veronica Yang	-	Joline Siu Mia Zhang	21-17 21-15			0:36	Main Location - 10
	1:50 PM	GD U13	Jessica Fan Ishika Jaiswal	-	Natalie Chi [2] Kalea Sheung	21-17 21-19			0:38	Main Location - 11
	1:50 PM	GD U13	Kodi Lee Emma Lin	-	Francesca Corbett Hailey Hung	21-18 19-21 21-10			0:37	Main Location - 7
	1:50 PM	GD U15	Maalveka Ilango [1] Lauren Lam	-	Xin Huang Katelin Ngo	21-18 17-21 21-14			0:51	Main Location - 6
	1:50 PM	GD U15	Tammy Xie [3/4] Cassandra Yu	-	Maggie Li Yvonne Qiu	21-11 21-14			0:40	Main Location - 1
	1:50 PM	GD U19	Annie Xu [1] Kerry Xu	-	Joanna Liu Crystal Pan	21-18 21-9			0:58	Main Location - 10
	1:50 PM	GD U19	Jennie Gai Jamie Hsu	-	Karen Ma Cindy Yuan	21-16 21-19			0:58	Main Location - 1
	1:50 PM	GD U17	Mirabelle Huang Annette Lam	-	Joanne Chan Catherine Oei	21-10			0:21	Main Location - 3
	2:20 PM	BD U11	Kyle Fang Jaden Jin	-	Wain Guo Ben Tirtohadi	21-15			0:24	Main Location - 5
	2:20 PM	BD U13	Allen Jolly Partha Teja Malladi	-	Jun Jie Lai Marvin Mo	21-19			1:13	Main Location - 2
	2:20 PM	BD U15	Nathan Chiang Akhil Raj Kasetty	-	Justin Lam Harshith Rajasekaran	21-18			0:32	Main Location - 4
	2:20 PM	BD U17	Choonggao Lee Ritvik Regulapati	-	Albert Lam Jack Yu	21-16			0:20	Main Location - 9
	2:20 PM	GD U11	Sahasra Chada Melissa Jin	-	Micah Cheng Laasya Priya Mullapudi	21-16			0:53	Main Location - 8
	2:20 PM	GD U13	Jolie Wang [1] Ellen Zulkarnain	-	Andrea Lou Melody Yang	21-17			0:27	Main Location - 11
	2:20 PM	GD U15	Karina Chan Roshni Venkat	-	Kristen Choi [3/4] Emma Lin	21-19			0:49	Main Location - 12
	2:20 PM	XD U17	Derek Hu Breanna Chi	-	Ryan Nibu Elita Chandra	21-17 16-21 21-12			1:06	Main Location - 3
	2:50 PM	XD U13	Edward Zhang [1] Nicole Ju	-	Brandon Wu Natalie Chi	21-9 21-17			0:31	Main Location - 12
	2:50 PM	XD U13	Andrew Liang Jessica Fan	-	Andrew Wang [2] Jolie Wang	17-21 21-14 21-18			1:01	Main Location - 7
	2:50 PM	XD U11	Daniel Zhou Savanna Lee	-	Weslie Chen Veronica Yang	21-9 16-21 21-17			0:50	Main Location - 11
	2:50 PM	XD U11	Alex Sin [2] Hailey Hung	-	Jerry Yuan Olivia Chen	21-19 21-16				Main Location - 9
	2:50 PM	XD U15	Eric Chang [1] Angela Zhang	-	Alohi Sheung [5/8] Lauren Lam	21-18 21-19			0:34	Main Location - 8
	2:50 PM	XD U15	Eric Duong [2] Cassandra Yu	-	Winston Tsai Roshni Venkat	21-17 21-17			0:38	Main Location - 5
	2:50 PM	XD U17	Dean Tan [3/4] Jennie Gai	-	Justin Lam [1] Mirabelle Huang	21-11 17-21 21-19			0:50	Main Location - 3
	2:50 PM	XD U19	Vinson Chiu [1] Crystal Pan	-	Anthony Chu Annie Xu	21-14 21-14			0:32	Main Location - 12
	2:50 PM	XD U19	Cadmus Yeo [2] Cindy Yuan	-	Eric Jiang Jamie Hsu	21-18 15-21 21-15			0:48	Main Location - 8
	3:20 PM	XD U11	Matthew Li Reanne Chan	-	Patrick Chi Brianna Xu	21-19			0:37	Main Location - 6
	3:20 PM	XD U11	Alvin Ng [34] Jaylyn Lee	-	Arjun Chatterjee Joline Siu	21-15			0:22	Main Location - 4
	3:20 PM	XD U13	Alec Lee Kodi Lee	-	Kevin Lan Ashley Yang	21-15			0:26	Main Location - 9
	3:20 PM	XD U13	Minh Cheng [3/4] Catherine Zheng	-	Jeremy Chen Ishika Jaiswal	21-14			0:03	Main Location - 1
	3:20 PM	XD U15	Jacob Zhang Celina Yu	-	Daniel Huang Siya Ragade	21-13			0:20	Main Location - 10
	3:20 PM	XD U15	Joshua Yuan Claire Chen	-	Kelvin Chong Tiffany Kuang	21-11			0:21	Main Location - 2
	3:20 PM	XD U17	David Wang Jakin Lin	-	Jack Yu Catherine Oei	21-9			0:21	Main Location - 2
	3:20 PM	XD U17	Raymond Chen [2] Karen Ma	-	Ken Zhu Joanne Chan	21-16			0:22	Main Location - 10
	3:50 PM	XD U11	Alex Sin [2] Hailey Hung	-	Daniel Zhou Savanna Lee	24-22 17-21 21-10			0:49	Main Location - 3
	3:50 PM	XD U13	Andrew Liang Jessica Fan	-	Edward Zhang [1] Nicole Ju	22-20 16-21 26-24			0:48	Main Location - 2
	3:50 PM	XD U13	Andrew Wang [2] Jolie Wang	-	Brandon Wu Natalie Chi	21-13 21-12			0:35	Main Location - 10
	3:50 PM	XD U15	Eric Chang [1] Angela Zhang	-	Eric Duong [2] Cassandra Yu	21-15 14-21 21-18			0:48	Main Location - 6
	3:50 PM	XD U15	Alohi Sheung [5/8] Lauren Lam	-	Winston Tsai Roshni Venkat	21-15 21-14			0:27	Main Location - 12
	3:50 PM	XD U17	Dean Tan [3/4] Jennie Gai	-	Derek Hu Breanna Chi	23-21 21-14			0:24	Main Location - 1
	3:50 PM	XD U17	Justin Lam [1] Mirabelle Huang	-	Ryan Nibu Elita Chandra	Walkover				
	3:50 PM	XD U19	Vinson Chiu [1] Crystal Pan	-	Cadmus Yeo [2] Cindy Yuan	21-17 21-12			0:29	Main Location - 12
	3:50 PM	XD U19	Eric Jiang Jamie Hsu	-	Anthony Chu Annie Xu	Walkover				
	3:50 PM	XD U11	Weslie Chen Veronica Yang	-	Jerry Yuan Olivia Chen	21-13 21-17			0:30	Main Location - 9
	4:20 PM	XD U11	Alvin Ng [34] Jaylyn Lee	-	Matthew Li Reanne Chan	21-15			0:22	Main Location - 4
	4:20 PM	XD U13	Minh Cheng [3/4] Catherine Zheng	-	Alec Lee Kodi Lee	21-19				Main Location - 10
	4:20 PM	XD U15	Joshua Yuan Claire Chen	-	Jacob Zhang Celina Yu	21-18			0:34	Main Location - 2
	4:20 PM	XD U17	Raymond Chen [2] Karen Ma	-	David Wang Jakin Lin	21-6			0:26	Main Location - 11
	4:20 PM	XD U19	Phillip Jap Kerry Xu	-	Ricky Liuzhou Joanna Liu	21-9			0:34	Main Location - 9